name,birthplace,start_date,end_date,force
Necip Torumtay,İstanbul,1987-07-02,1990-12-03,Chiefs
Doğan Güreş,Adana,1990-12-06,1994-08-30,Chiefs
İsmail Hakkı Karadayı,Afyonkarahisar,1994-08-30,1998-08-30,Chiefs
Hüseyin Kıvrıkoğlu,Ankara,1998-08-30,2002-08-28,Chiefs
Hilmi Özkök,Manisa,2002-08-28,2006-08-28,Chiefs
Yaşar Büyükanıt,Ankara,2006-08-28,2008-08-28,Chiefs
İlker Başbuğ,Afyonkarahisar,2008-08-28,2010-08-27,Chiefs
Işık Koşaner,Kastamonu,2010-08-27,2011-07-29,Chiefs
Necdet Özel,Trabzon,2011-07-29,2015-08-18,Chiefs
Hulusi Akar,Kayseri,2015-08-18,2018-07-16,Chiefs
Yaşar Güler,Erzincan,2018-07-16,2023-06-05,Chiefs
Metin Gürak,Mardin,2023-08-16,2025-08-18,Chiefs
Selçuk Bayraktaroğlu,Ankara,2025-08-18,,Chiefs
Mehmet Ali Ülgen,İstanbul,,1950,Navy
Sadık Altıncan,İstanbul,,1957,Navy
Fahri Korutürk,Osmanlı İmparatorluğu,,1960,Navy
Ahmet Zeki Özak,Osmanlı İmparatorluğu,,1961,Navy
Necdet Uran,İstanbul,,1968,Navy
Celal Eyiceoğlu,Osmanlı İmparatorluğu,,1972,Navy
Kemal Kayacan,"Sinop,Osmanlı İmparatorluğu",,1974,Navy
Hilmi Fırat,İstanbul,,1977,Navy
Bülent Ulusu,İstanbul,,1980,Navy
Nejat Tümer,İstanbul,,1983,Navy
Zahit Atakan,Adalar,,1986,Navy
Emin Göksan,Balıkesir,,1988,Navy
Orhan Karabulut,Türkiye,,1990,Navy
İrfan Tınaz,İstanbul,,1992,Navy
Vural Beyazıt,Türkiye,,1995,Navy
Güven Erkaya,Manisa,,1997,Navy
Salim Dervişoğlu,Kocaeli,,1999,Navy
İlhami Erdil,Ankara,,2001,Navy
Bülent Alpkaya,Trabzon,,2003,Navy
Özden Örnek,Kocaeli,,2005,Navy
Yener Karahanoğlu,Erzurum,,2007,Navy
Metin Ataç,Türkiye,,2009,Navy
Uğur Yiğit,Türkiye,,2011,Navy
Murat Bilgel,İstanbul,,2013,Navy
Bülent Bostanoğlu,Zonguldak,,2017,Navy
Adnan Özbal,Türkiye,,2022,Navy
Ercüment Tatlıoğlu,Türkiye,,Present,Navy
