position,№,Fotoğraf,wikipedia_link,TBMM Başkanı,Göreve Başlama,Görevden Ayrılma,Parti,column_6,Dönem,Geçici TBMM Başkanı,column_4,Görev süresi,Doğum tarihi,birth_year,birth_place,birth_date
Speaker of the National Assembly,18,,https://tr.wikipedia.org/wiki/%C4%B0smet_Sezgin,İsmet Sezgin(1928-2016),18 Ekim 1995,24 Aralık 1995,,,,,,,,1928,"Aydın, Türkiye","İsmet Abdullah Sezgin6 Ocak 1928Aydın, Türkiye"
Speaker of the National Assembly,19,,https://tr.wikipedia.org/wiki/Mustafa_Kalemli,Mustafa Kalemli(1943- ),25 Ocak 1996,30 Eylül 1997,,Anavatan Partisi,,,,,,1943,"Kütahya, Türkiye","26 Mart 1943 (82 yaşında)Kütahya, Türkiye"
Speaker of the National Assembly,20,,https://tr.wikipedia.org/wiki/Hikmet_%C3%87etin,Hikmet Çetin(1937- ),16 Ekim 1997,18 Nisan 1999,,Cumhuriyet Halk Partisi,,,,,,1937,"Lice, Diyarbakır, Türkiye","Hikmet Çetin10 Ağustos 1937 (88 yaşında)Lice, Diyarbakır, Türkiye"
Speaker of the National Assembly,(15),,https://tr.wikipedia.org/wiki/Y%C4%B1ld%C4%B1r%C4%B1m_Akbulut,Yıldırım Akbulut(1935-2021),20 Mayıs 1999,30 Eylül 2000,,Anavatan Partisi,,,,,,,,
Speaker of the National Assembly,21,,https://tr.wikipedia.org/wiki/%C3%96mer_%C4%B0zgi,Ömer İzgi(1940- ),18 Ekim 2000,14 Kasım 2002,,Milliyetçi Hareket Partisi,,,,,,1940,"Doğanhisar, Konya","1940 (85-86 yaşında)Doğanhisar, Konya"
Speaker of the National Assembly,22,,https://tr.wikipedia.org/wiki/B%C3%BClent_Ar%C4%B1n%C3%A7,Bülent Arınç(1948– ),19 Kasım 2002,22 Temmuz 2007,,Adalet ve Kalkınma Partisi,,,,,,1948,"Demirtaş, Bursa, Türkiye","25 Mayıs 1948 (77 yaşında)Demirtaş, Bursa, Türkiye"
Speaker of the National Assembly,23,,https://tr.wikipedia.org/wiki/K%C3%B6ksal_Toptan,Köksal Toptan(1943- ),9 Ağustos 2007,9 Ağustos 2009,,,,,,,,1943,"Camidağı, Rize, Türkiye","3 Ocak 1943 (83 yaşında)Camidağı, Rize, Türkiye"
Speaker of the National Assembly,24,,https://tr.wikipedia.org/wiki/Mehmet_Ali_%C5%9Eahin,Mehmet Ali Şahin(1950- ),9 Ağustos 2009,28 Haziran 2011,,,,,,,,1950,"Ekincik, Ovacık, Karabük, Türkiye","16 Eylül 1950 (75 yaşında)Ekincik, Ovacık, Karabük, Türkiye"
Speaker of the National Assembly,25,,https://tr.wikipedia.org/wiki/Cemil_%C3%87i%C3%A7ek,Cemil Çiçek(1946- ),4 Temmuz 2011,23 Haziran 2015,,,,,,,,1946,"Musabeyliboğazı, Yozgat, Türkiye","15 Kasım 1946 (79 yaşında)Musabeyliboğazı, Yozgat, Türkiye"
Speaker of the National Assembly,26,,https://tr.wikipedia.org/wiki/%C4%B0smet_Y%C4%B1lmaz,İsmet Yılmaz(1961- ),1 Temmuz 2015,17 Kasım 2015,,,,,,,,1961,"Gürün, Sivas, Türkiye","10 Aralık 1961 (64 yaşında)Gürün, Sivas, Türkiye"
