position,№,wikipedia_link,Bakan,Göreve Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,Görev Başlangıcı,birth_year,birth_place,birth_date
Minister of Finance & Treasury,4,https://tr.wikipedia.org/wiki/Cengiz_Yavilio%C4%9Flu,,,22 Haziran 2023,,,Cengiz Yavilioğlu,30 Ocak 2021,,,
Minister of Finance & Treasury,Şakir Ercan Gül,https://tr.wikipedia.org/wiki/%C5%9Eakir_Ercan_G%C3%BCl,,,,,,30 Ocak 2021,16 Aralık 2021,1967,Erzurum,
Minister of Finance & Treasury,Mehmet Hamdi Yıldırım,,,,,,,15 Temmuz 2021,16 Aralık 2021,,,
Minister of Finance & Treasury,5,,,,22 Haziran 2023,,,Mahmut Gürcan,16 Aralık 2021,,,
Minister of Finance & Treasury,Yunus Elitaş,,,,,,,16 Aralık 2021,22 Haziran 2023,,,
Minister of Finance & Treasury,Murat Zaman,,,,,,,22 Aralık 2021,22 Haziran 2023,,,
Minister of Finance & Treasury,6,https://tr.wikipedia.org/wiki/Abdullah_Erdem_Cantimur,,,Görevde,,,Abdullah Erdem Cantimur,22 Haziran 2023,,,
Minister of Finance & Treasury,İsmail İlhan Hatipoğlu,https://tr.wikipedia.org/wiki/%C4%B0smail_%C4%B0lhan_Hatipo%C4%9Flu,,,,,,22 Haziran 2023,Görevde,1968,Karaman,1968 (57-58 yaşında)Karaman
Minister of Finance & Treasury,Osman Çelik,,,,,,,22 Haziran 2023,Görevde,,,
Minister of Finance & Treasury,Zekeriya Kaya,,,,,,,22 Haziran 2023,Görevde,,,
