position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Interior,26,https://tr.wikipedia.org/wiki/Mehmet_Faruk_S%C3%BCkan,Mehmet Faruk Sükan,27 Ekim 1965,1 Ağustos 1969,,Adalet Partisi,,1921,"Karaman, Osmanlı İmparatorluğu","1921Karaman, Osmanlı İmparatorluğu"
Minister of Interior,27,https://tr.wikipedia.org/wiki/Salih_Rag%C4%B1p_%C3%9Cner,Salih Ragıp Üner,1 Ağustos 1969,3 Kasım 1969,,,,1914,,
Minister of Interior,28,https://tr.wikipedia.org/wiki/Haldun_Mente%C5%9Feo%C4%9Flu,Haldun Menteşeoğlu,3 Kasım 1969,26 Mart 1971,,,,1916,,
Minister of Interior,29,https://tr.wikipedia.org/wiki/Hamdi_%C3%96mero%C4%9Flu,Hamdi Ömeroğlu,26 Mart 1971,11 Aralık 1971,,Bağımsız,,1914,Rize,1914Rize
Minister of Interior,30,https://tr.wikipedia.org/wiki/Ferit_Kubat,Ferit Kubat,11 Aralık 1971,15 Nisan 1973,,,,1919,"Diyarbakır, Osmanlı İmparatorluğu","1 Ocak 1919(1919-01-01)Diyarbakır, Osmanlı İmparatorluğu"
Minister of Interior,31,https://tr.wikipedia.org/wiki/Mukadder_%C3%96ztekin,Mukadder Öztekin,15 Nisan 1973,26 Ocak 1974,,,,1919,Niğde,1919Niğde
Minister of Interior,32,https://tr.wikipedia.org/wiki/O%C4%9Fuzhan_Asilt%C3%BCrk,Oğuzhan Asiltürk,26 Ocak 1974,17 Kasım 1974,,Millî Selamet Partisi,,1935,"Hekimhan, Malatya, Türkiye","25 Mayıs 1935(1935-05-25)Hekimhan, Malatya, Türkiye"
Minister of Interior,(31),https://tr.wikipedia.org/wiki/Mukadder_%C3%96ztekin,Mukadder Öztekin,17 Kasım 1974,31 Mart 1975,,Bağımsız,,,,
Minister of Interior,(32),https://tr.wikipedia.org/wiki/O%C4%9Fuzhan_Asilt%C3%BCrk,Oğuzhan Asiltürk,31 Mart 1975,11 Nisan 1977,,Millî Selamet Partisi,,,,
Minister of Interior,33,https://tr.wikipedia.org/wiki/Ahmet_Sabahattin_%C3%96zbek,Ahmet Sabahattin Özbek,11 Nisan 1977,21 Haziran 1977,,Bağımsız,,1915,"Erzincan, Osmanlı İmparatorluğu","1915Erzincan, Osmanlı İmparatorluğu"
Minister of Interior,34,https://tr.wikipedia.org/wiki/Mustafa_Necdet_U%C4%9Fur,Mustafa Necdet Uğur,21 Haziran 1977,21 Temmuz 1977,,Cumhuriyet Halk Partisi,,1923,"Mecitözü, Çorum, Türkiye","1923Mecitözü, Çorum, Türkiye"
Minister of Interior,35,https://tr.wikipedia.org/wiki/Korkut_%C3%96zal,Korkut Özal,21 Temmuz 1977,5 Ocak 1978,,Millî Selamet Partisi,,1929,"Malatya, Türkiye","29 Mayıs 1929(1929-05-29)Malatya, Türkiye"
Minister of Interior,36,https://tr.wikipedia.org/wiki/%C4%B0rfan_%C3%96zayd%C4%B1nl%C4%B1,İrfan Özaydınlı,5 Ocak 1978,2 Ocak 1979,,Cumhuriyet Halk Partisi,,1943,"Aydın, Türkiye","1924Aydın, Türkiye"
Minister of Interior,37,https://tr.wikipedia.org/wiki/Hasan_Fehmi_G%C3%BCne%C5%9F,Hasan Fehmi Güneş,16 Ocak 1979,5 Ekim 1979,,,,1934,"Adapazarı, Türkiye","1934Adapazarı, Türkiye"
Minister of Interior,38,https://tr.wikipedia.org/wiki/Vecdi_%C4%B0lhan,Vecdi İlhan,5 Ekim 1979,12 Kasım 1979,,,,1924,,
Minister of Interior,39,https://tr.wikipedia.org/wiki/Mustafa_G%C3%BClc%C3%BCgil,Mustafa Gülcügil,12 Kasım 1979,21 Temmuz 1980,,Adalet Partisi,,1917,"Isparta, Osmanlı İmparatorluğu","1917Isparta, Osmanlı İmparatorluğu"
Minister of Interior,40,https://tr.wikipedia.org/wiki/Orhan_Eren,Orhan Eren,4 Ağustos 1980,12 Eylül 1980,,,,1922,"Nallıhan - ö. 28 Eylül 2017, Ankara",
Minister of Interior,41,https://tr.wikipedia.org/wiki/Selahattin_%C3%87etiner,Selahattin Çetiner,21 Eylül 1980,13 Aralık 1983,,Askerî,,1941,"Lapseki, Çanakkale, Osmanlı İmparatorluğu","1922Lapseki, Çanakkale, Osmanlı İmparatorluğu"
Minister of Interior,42,https://tr.wikipedia.org/wiki/Ali_Tanr%C4%B1yar,Ali Tanrıyar,13 Aralık 1983,26 Ekim 1984,,Anavatan Partisi,,1914,"Palihor, Pravişte, Kavala, Yunanistan","14 Mart 1914(1914-03-14)Palihor, Pravişte, Kavala, Yunanistan"
Minister of Interior,43,https://tr.wikipedia.org/wiki/Y%C4%B1ld%C4%B1r%C4%B1m_Akbulut,Yıldırım Akbulut,26 Ekim 1984,16 Eylül 1987,,,,1935,"Erzincan, Türkiye","2 Eylül 1935(1935-09-02)Erzincan, Türkiye"
Minister of Interior,44,https://tr.wikipedia.org/wiki/Ahmet_Sel%C3%A7uk,Ahmet Selçuk,16 Eylül 1987,21 Aralık 1987,,,,1930,İzmir,1930İzmir
Minister of Interior,45,https://tr.wikipedia.org/wiki/Mustafa_Kalemli,Mustafa Kalemli,21 Aralık 1987,30 Mart 1989,,,,1943,"Kütahya, Türkiye","26 Mart 1943 (82 yaşında)Kütahya, Türkiye"
Minister of Interior,46,https://tr.wikipedia.org/wiki/Abd%C3%BClkadir_Aksu,Abdülkadir Aksu,30 Mart 1989,23 Haziran 1991,,,,1944,"Diyarbakır, Türkiye","12 Ekim 1944 (81 yaşında)Diyarbakır, Türkiye"
