position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Justice,68,https://tr.wikipedia.org/wiki/Kenan_%C4%B0pek,Kenan İpek,7 Mart 2015,24 Kasım 2015,,Bağımsız (Bürokrat),,1959,"Rize, Türkiye","5 Ekim 1959 (66 yaşında)Rize, Türkiye"
Minister of Justice,(67),https://tr.wikipedia.org/wiki/Bekir_Bozda%C4%9F,Bekir Bozdağ,24 Kasım 2015,19 Temmuz 2017,,Adalet ve Kalkınma Partisi,,,,
Minister of Justice,69,https://tr.wikipedia.org/wiki/Abd%C3%BClhamit_G%C3%BCl,Abdülhamit Gül,19 Temmuz 2017,29 Ocak 2022,,,,1977,"Nizip, Gaziantep, Türkiye","12 Mart 1977 (48 yaşında)Nizip, Gaziantep, Türkiye"
Minister of Justice,(67),https://tr.wikipedia.org/wiki/Bekir_Bozda%C4%9F,Bekir Bozdağ,29 Ocak 2022,4 Haziran 2023,,,,,,
Minister of Justice,70,https://tr.wikipedia.org/wiki/Y%C4%B1lmaz_Tun%C3%A7,Yılmaz Tunç,4 Haziran 2023,Görevde,,,,1971,"Ulus, Bartın, Türkiye","1 Şubat 1971 (55 yaşında)Ulus, Bartın, Türkiye"
Minister of Justice,1,https://tr.wikipedia.org/wiki/Veysi_Kaynak,,5 Kasım 2011,10 Şubat 2015,,,Veysi Kaynak,1962,"Kahramanmaraş, Türkiye","1962 (63-64 yaşında)Kahramanmaraş, Türkiye"
Minister of Justice,2,https://tr.wikipedia.org/wiki/Bilal_U%C3%A7ar,,7 Ocak 2016,10 Temmuz 2018,,,Bilal Uçar,1969,"Acıpayam, Denizli, Türkiye","6 Ocak 1969 (57 yaşında)Acıpayam, Denizli, Türkiye"
Minister of Justice,3,https://tr.wikipedia.org/wiki/Hilmi_Bilgin,,21 Temmuz 2018,1 Aralık 2018,,,Hilmi Bilgin,1972,"Kangal, Sivas, Türkiye","1972 (53-54 yaşında)Kangal, Sivas, Türkiye"
Minister of Justice,Yıldız Seferinoğlu,https://tr.wikipedia.org/wiki/Y%C4%B1ld%C4%B1z_Seferino%C4%9Flu,,25 Ocak 2019,,,,21 Temmuz 2018,1969,"Ardeşen, Rize, Türkiye","25 Temmuz 1969 (56 yaşında)Ardeşen, Rize, Türkiye"
Minister of Justice,Selahaddin Menteş,https://tr.wikipedia.org/wiki/Selahaddin_Mente%C5%9F,,5 Temmuz 2019,,,,21 Temmuz 2018,1970,Malatya,
Minister of Justice,Cengiz Öner,,,16 Ekim 2020,,,,21 Temmuz 2018,,,
Minister of Justice,4,https://tr.wikipedia.org/wiki/%C5%9Eaban_Y%C4%B1lmaz_(siyaset%C3%A7i),,7 Temmuz 2019,24 Aralık 2020,,,Şaban Yılmaz,1970,"Rize, Türkiye","1 Mayıs 1970 (55 yaşında)Rize, Türkiye"
Minister of Justice,Uğurhan Kuş,,,2 Haziran 2022,,,,7 Temmuz 2019,,,
Minister of Justice,Zekeriya Birkan,https://tr.wikipedia.org/wiki/Zekeriya_Birkan,,22 Haziran 2023,,,,7 Temmuz 2019,1967,"Çaykara, Trabzon, Türkiye","1 Ocak 1967 (59 yaşında)Çaykara, Trabzon, Türkiye"
Minister of Justice,Hasan Yılmaz,https://tr.wikipedia.org/wiki/Hasan_Y%C4%B1lmaz,,17 Ocak 2024,,,,16 Ekim 2020,1974,Trabzon,
Minister of Justice,Yakup Moğul,,,22 Haziran 2023,,,,23 Ocak 2021,,,
Minister of Justice,Akın Gürlek,https://tr.wikipedia.org/wiki/Ak%C4%B1n_G%C3%BCrlek,,2 Ekim 2024,,,,2 Haziran 2022,1982,"Nevşehir, Türkiye","1982 (43-44 yaşında)Nevşehir, Türkiye"
Minister of Justice,5,,,22 Haziran 2023,Görevde,,,Niyazi Acar,,,
Minister of Justice,Ramazan Can,https://tr.wikipedia.org/wiki/Ramazan_Can,,Görevde,,,,22 Haziran 2023,1970,"Kırıkkale, Türkiye","20 Nisan 1970 (55 yaşında)Kırıkkale, Türkiye"
Minister of Justice,Hurşit Yıldırım,https://tr.wikipedia.org/wiki/Hur%C5%9Fit_Y%C4%B1ld%C4%B1r%C4%B1m,,Görevde,,,,23 Şubat 2024,1974,Yozgat,03 Mart 1974 (51 yaşında)Yozgat
Minister of Justice,Mehmet Yılmaz,,,Görevde,,,,4 Ekim 2024,,,
