position,№,wikipedia_link,Bakan,Göreve Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,Görev Başlangıcı,birth_year,birth_place,birth_date
Minister of Foreign Relations,41,https://tr.wikipedia.org/wiki/Feridun_Sinirlio%C4%9Flu,Feridun Sinirlioğlu,28 Ağustos 2015,24 Kasım 2015,,Bağımsız,,,1956,"Görele, Giresun, Türkiye","30 Ocak 1956 (70 yaşında)Görele, Giresun, Türkiye"
Minister of Foreign Relations,(40),https://tr.wikipedia.org/wiki/Mevl%C3%BCt_%C3%87avu%C5%9Fo%C4%9Flu,Mevlüt Çavuşoğlu,24 Kasım 2015,4 Haziran 2023,,Adalet ve Kalkınma Partisi,,,,,
Minister of Foreign Relations,42,https://tr.wikipedia.org/wiki/Hakan_Fidan,Hakan Fidan,4 Haziran 2023,Görevde,,Bağımsız,,,1968,"Altındağ, Ankara, Türkiye","17 Temmuz 1968 (57 yaşında)Altındağ, Ankara, Türkiye"
Minister of Foreign Relations,1,,,,12 Haziran 2016,,,Naci Koru,5 Mart 2012,,,
Minister of Foreign Relations,2,https://tr.wikipedia.org/wiki/Ahmet_Y%C4%B1ld%C4%B1z_(b%C3%BCrokrat),,,26 Nisan 2018,,,Ahmet Yıldız,29 Haziran 2016,1964,"Denizli, Türkiye","23 Ocak 1964 (62 yaşında)Denizli, Türkiye"
Minister of Foreign Relations,3,,,,6 Eylül 2022,,,Yavuz Selim Kıran,7 Ağustos 2018,,,
Minister of Foreign Relations,Sedat Önal,,,,,,,7 Ağustos 2018,4 Şubat 2023,,,
Minister of Foreign Relations,Faruk Kaymakcı,https://tr.wikipedia.org/wiki/Faruk_Kaymakc%C4%B1,,,,,,7 Ağustos 2018,18 Şubat 2023,1968,"Tosya, Kastamonu, Türkiye","21 Mart 1968 (57 yaşında)Tosya, Kastamonu, Türkiye"
Minister of Foreign Relations,Yasin Ekrem Serim,,,,,,,15 Ekim 2022,14 Ağustos 2024,,,
Minister of Foreign Relations,Burak Akçapar,https://tr.wikipedia.org/wiki/Burak_Ak%C3%A7apar,,,,,,18 Şubat 2023,25 Mayıs 2024,1967,"İstanbul, Türkiye","27 Mayıs 1967 (58 yaşında)İstanbul, Türkiye"
Minister of Foreign Relations,Mehmet Kemal Bozay,https://tr.wikipedia.org/wiki/Mehmet_Kemal_Bozay,,,,,,18 Şubat 2023,Görevde,1966,"Ankara, Türkiye","1966 (59-60 yaşında)Ankara, Türkiye"
Minister of Foreign Relations,4,https://tr.wikipedia.org/wiki/Ahmet_Y%C4%B1ld%C4%B1z_(b%C3%BCrokrat),,,24 Nisan 2024,,,Ahmet Yıldız,22 Haziran 2023,,,
Minister of Foreign Relations,5,https://tr.wikipedia.org/wiki/Burhanettin_Duran,,,10 Temmuz 2025,,,Burhanettin Duran,16 Mayıs 2024,1971,Sakarya,"1971Sakarya, Türkiye"
Minister of Foreign Relations,Nuh Yılmaz,,,,,,,16 Mayıs 2024,24 Ekim 2025,,,
Minister of Foreign Relations,Ayşe Berris Ekinci,,,,,,,16 Mayıs 2024,Görevde,,,
Minister of Foreign Relations,6,,,,Görevde,,,Zeki Levent Gümrükçü,1 Şubat 2025,,,
Minister of Foreign Relations,7,,,,Görevde,,,Musa Kulaklıkaya,2 Ekim 2025,,,
