position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Education,-,https://tr.wikipedia.org/wiki/Fehmi_Yavuz,Fehmi Yavuz (vekil),27 Ağustos 1960,8 Eylül 1960,,,,,,
Minister of Education,22,https://tr.wikipedia.org/wiki/Bedrettin_Tuncel,Bedrettin Tuncel,8 Eylül 1960,5 Ocak 1961,,,,1910,"Tirebolu, Giresun","1910Tirebolu, Giresun"
Minister of Education,23,https://tr.wikipedia.org/wiki/Turhan_Feyzio%C4%9Flu,Turhan Feyzioğlu,5 Ocak 1961,7 Şubat 1961,,,,1922,"Kayseri, Türkiye","1922Kayseri, Türkiye"
Minister of Education,-,https://tr.wikipedia.org/wiki/Ahmet_Tahtak%C4%B1l%C4%B1%C3%A7,Ahmet Tahtakılıç (vekil),7 Şubat 1961,2 Mart 1961,,,,1909,,
Minister of Education,24,https://tr.wikipedia.org/wiki/Ahmet_Tahtak%C4%B1l%C4%B1%C3%A7,Ahmet Tahtakılıç,3 Mart 1961,25 Ekim 1961,,,,,,
Minister of Education,-,https://tr.wikipedia.org/wiki/Ahmet_Tahtak%C4%B1l%C4%B1%C3%A7,Ahmet Tahtakılıç (vekil),25 Ekim 1961,20 Kasım 1961,,,,,,
Minister of Education,25,https://tr.wikipedia.org/wiki/Mehmet_Hilmi_%C4%B0ncesulu,Mehmet Hilmi İncesulu,20 Kasım 1961,25 Haziran 1962,,Cumhuriyet Halk Partisi,,1917,"Sungurlu, Osmanlı İmparatorluğu","1917Sungurlu, Osmanlı İmparatorluğu"
Minister of Education,26,https://tr.wikipedia.org/wiki/%C5%9Eevket_Ra%C5%9Fit_Hatipo%C4%9Flu,Şevket Raşit Hatipoğlu,25 Haziran 1962,8 Haziran 1963,,,,1898,"Menemen, İzmir, Osmanlı İmparatorluğu","1898Menemen, İzmir, Osmanlı İmparatorluğu"
Minister of Education,27,https://tr.wikipedia.org/wiki/%C4%B0brahim_%C3%96ktem,İbrahim Öktem,11 Haziran 1963,20 Şubat 1965,,,,1904,Karaman,1904Karaman
Minister of Education,28,https://tr.wikipedia.org/wiki/Nevzat_Cihat_Bilgehan,Nevzat Cihat Bilgehan,20 Şubat 1965,27 Ekim 1965,,Adalet Partisi,,,,
Minister of Education,29,https://tr.wikipedia.org/wiki/Orhan_Dengiz,Orhan Dengiz,27 Ekim 1965,1 Nisan 1967,,,,1918,Uşak,1918Uşak
Minister of Education,30,https://tr.wikipedia.org/wiki/Mehmet_%C4%B0lhami_Ertem,Mehmet İlhami Ertem,1 Nisan 1967,3 Kasım 1969,,,,1918,"Edirne, Osmanlı İmparatorluğu","1918Edirne, Osmanlı İmparatorluğu"
Minister of Education,31,https://tr.wikipedia.org/wiki/Orhan_O%C4%9Fuz_(siyaset%C3%A7i),Orhan Oğuz,3 Kasım 1969,26 Mart 1971,,,,1923,,
Minister of Education,32,https://tr.wikipedia.org/wiki/%C5%9Einasi_Orel,Şinasi Orel,26 Mart 1971,13 Aralık 1971,,Bağımsız,,1915,,
Minister of Education,33,https://tr.wikipedia.org/wiki/%C4%B0smail_Hakk%C4%B1_Arar,İsmail Hakkı Arar,13 Aralık 1971,22 Mayıs 1972,,Cumhuriyet Halk Partisi,,,,
Minister of Education,34,https://tr.wikipedia.org/wiki/Sabahattin_%C3%96zbek,Sabahattin Özbek,22 Mayıs 1972,15 Nisan 1973,,Adalet Partisi,,1915,"Erzincan, Osmanlı İmparatorluğu","1915Erzincan, Osmanlı İmparatorluğu"
Minister of Education,(31),https://tr.wikipedia.org/wiki/Orhan_Dengiz,Orhan Dengiz,15 Nisan 1973,26 Ocak 1974,,,,,,
Minister of Education,35,https://tr.wikipedia.org/wiki/Mustafa_%C3%9Cst%C3%BCnda%C4%9F_(siyaset%C3%A7i),Mustafa Üstündağ,26 Ocak 1974,17 Kasım 1974,,Cumhuriyet Halk Partisi,,1933,"Ortakaraviran, Seydişehir, Konya, Türkiye","1933Ortakaraviran, Seydişehir, Konya, Türkiye"
Minister of Education,36,https://tr.wikipedia.org/wiki/Safa_Reiso%C4%9Flu,Safa Reisoğlu,17 Kasım 1974,31 Mart 1975,,Bağımsız,,1929,İstanbul,1929İstanbul
Minister of Education,37,https://tr.wikipedia.org/wiki/Ali_Naili_Erdem,Ali Naili Erdem,31 Mart 1975,21 Haziran 1977,,Adalet Partisi,,1927,"Kemalpaşa, İzmir, Türkiye","17 Şubat 1927 (98 yaşında)Kemalpaşa, İzmir, Türkiye"
Minister of Education,(35),https://tr.wikipedia.org/wiki/Mustafa_%C3%9Cst%C3%BCnda%C4%9F_(siyaset%C3%A7i),Mustafa Üstündağ,21 Haziran 1977,21 Temmuz 1977,,Cumhuriyet Halk Partisi,,,,
Minister of Education,38,https://tr.wikipedia.org/wiki/Nahit_Mente%C5%9Fe,Nahit Menteşe,21 Temmuz 1977,5 Ocak 1978,,Adalet Partisi,,,,
Minister of Education,39,https://tr.wikipedia.org/wiki/Mustafa_Necdet_U%C4%9Fur,Mustafa Necdet Uğur,5 Ocak 1978,12 Kasım 1979,,Cumhuriyet Halk Partisi,,,,
Minister of Education,40,https://tr.wikipedia.org/wiki/Orhan_Cemal_Fersoy,Orhan Cemal Fersoy,12 Kasım 1979,12 Eylül 1980,,Adalet Partisi,,1923,"Bursa, Osmanlı İmparatorluğu","1923Bursa, Osmanlı İmparatorluğu"
